stock,endDate,totalCurrentAssets,totalCurrentLiabilities
IVC,2019-12-31,355877000,218657000
IVC,2018-12-31,397410000,198208000
IVC,2017-12-31,456914000,218064000
IVC,2016-12-31,409072000,220861000
CSLT,2019-12-31,95470000,54907000
CSLT,2018-12-31,107828000,51178000
CSLT,2017-12-31,119268000,57011000
CSLT,2016-12-31,141010000,48723000
LPX,2019-12-31,619000000,244000000
LPX,2018-12-31,1287000000,262000000
LPX,2017-12-31,1359600000,270100000
LPX,2016-12-31,1008300000,228800000
GDYN,2019-12-31,66015000,8300000
GDYN,2018-12-31,37223000,8347000
GDYN,2017-12-31,28982000,6757000
ARA,2019-12-31,220014000,190935000
ARA,2018-12-31,194863000,197640000
ARA,2017-12-31,213816000,171515000
ARA,2016-12-31,254290000,171526000
MBOT,2019-12-31,35936000,4826000
MBOT,2018-12-31,5831000,4760000
MBOT,2017-12-31,10930000,528000
MBOT,2016-12-31,3315000,783000
AZRX,2019-12-31,3408286,4285636
AZRX,2018-12-31,4800001,2995523
AZRX,2017-12-31,1952568,2479076
AZRX,2016-12-31,2963974,2340840
XXII,2019-12-31,42743498,5780380
XXII,2018-12-31,61197526,5173544
XXII,2017-12-31,67621455,4313206
XXII,2016-12-31,16797435,3249317
ABTX,2019-12-31,370053000,4075294000
ABTX,2018-12-31,286587000,3665348000
ABTX,2017-12-31,194867000,2214584000
ABTX,2016-12-31,152894000,1870468000
NATH,2019-03-31,87161000,14924000
NATH,2018-03-25,71708000,18006000
NATH,2017-03-26,67535000,10772000
NATH,2016-03-27,60979000,11200000
EGBN,2019-12-31,300758000,7514516000
EGBN,2018-12-31,346581000,7005026000
EGBN,2017-12-31,219262000,6255555000
EGBN,2016-12-31,422619000,5785045000
PUK,2019-12-31,28190000000,20762000000
PUK,2018-12-31,174964000000,68233000000
PUK,2017-12-31,31539000000,23551000000
PUK,2016-12-31,35353000000,28047000000
TSLX,2019-12-31,35003000,43270000
TSLX,2018-12-31,24355000,157151000
TSLX,2017-12-31,26515000,37236000
TSLX,2016-12-31,18129000,37002000
LOGC,2019-12-31,52838000,3563000
LOGC,2018-12-31,82174000,2685000
LOGC,2017-12-31,25693000,1711000
LOGC,2016-12-31,1814000,920000
NUE,2019-12-31,8226370000,2463774000
NUE,2018-12-31,8636265000,2806300000
NUE,2017-12-31,6824420000,2824764000
NUE,2016-12-31,6506393000,2389966000
KSU,2019-12-31,728600000,491300000
KSU,2018-12-31,635400000,447000000
KSU,2017-12-31,680100000,971700000
KSU,2016-12-31,648000000,744400000
BWFG,2019-12-31,99726000,1651284000
BWFG,2018-12-31,87355000,1646629000
BWFG,2017-12-31,78675000,1585144000
BWFG,2016-12-31,102805000,1432973000
ITIC,2019-12-31,58158000,36753000
ITIC,2018-12-31,71843000,64445000
ITIC,2017-12-31,63240000,62366000
ITIC,2016-12-31,52943148,62683912
CSII,2019-06-30,180075000,42345000
CSII,2018-06-30,167611000,37460000
CSII,2017-06-30,159059000,40972000
CSII,2016-06-30,104882000,35499000
BCOR,2019-12-31,139143000,93532000
BCOR,2018-12-31,131812000,48280000
BCOR,2017-12-31,99397000,51756000
BCOR,2016-12-31,97847000,54367000
NBHC,2019-12-31,256624000,5030007000
NBHC,2018-12-31,189770000,4605789000
NBHC,2017-12-31,303836000,4135728000
NBHC,2016-12-31,223692000,3982139000
PLT,2020-03-28,685028000,475825000
PLT,2019-03-30,781146000,528229000
PLT,2018-03-31,899726000,125514000
PLT,2017-03-31,698977000,117170000
BLD,2019-12-31,779827000,476754000
BLD,2018-12-31,704697000,444260000
BLD,2017-12-31,511592000,351401000
BLD,2016-12-31,526553000,325933000
EDU,2019-05-31,3466242000,2006224000
EDU,2018-05-31,2941914000,1750884000
EDU,2017-05-31,2326262000,1202681000
EDU,2016-05-31,1869336000,918190000
BANF,2019-12-31,1961975000,7530045000
BANF,2018-12-31,1504546000,6644665000
BANF,2017-12-31,1820234000,6445568000
BANF,2016-12-31,1905262000,6275899000
